,type,product,date,description,amount,balance
61,Card Payment,Current,2024-07-06 03:24:28,Ana Modern,-8.0,500.72
62,Card Payment,Current,2024-07-08 13:26:14,McDonald's,-18.0,482.72
63,Card Payment,Current,2024-07-08 03:08:07,Neversea 238,-30.0,452.72
64,Card Payment,Current,2024-07-08 15:40:35,RomPetrol,-30.3,422.42
65,Card Payment,Current,2024-07-08 13:54:45,Inmedio,-6.49,415.93
66,Card Payment,Current,2024-07-08 13:32:02,Chopstix,-25.49,390.44
67,Card Payment,Current,2024-07-09 15:39:50,Mega Image,-5.19,385.25
68,Card Payment,Current,2024-07-09 22:23:03,Lime,-7.42,377.83
69,Card Payment,Current,2024-07-09 22:23:42,Metro Food & Com,-22.0,355.83
70,Card Payment,Current,2024-07-11 18:33:50,Profi,-22.0,333.83
71,Card Payment,Current,2024-07-13 01:56:00,Pop events,-50.0,283.83
72,Card Payment,Current,2024-07-12 21:49:07,Pop events,-100.0,183.83
73,Card Payment,Current,2024-07-13 17:00:20,Darmat Partners,-11.0,172.83
74,Card Payment,Current,2024-07-13 16:50:10,Red Kitchen Srl,-29.0,143.83
75,Card Payment,Current,2024-07-14 22:10:40,Babylon Food Delivery Srl,-22.0,121.83
76,Card Payment,Current,2024-07-14 22:10:22,Babylon Food Delivery Srl,-29.0,92.83
77,Card Payment,Current,2024-07-14 22:04:51,C N Best Team Srl,-30.0,62.83
78,Card Payment,Current,2024-07-14 23:47:48,Pop events,-50.0,12.83
79,Card Payment,Current,2024-07-14 22:48:31,Fresh Estival Activ Srl,-6.0,6.83
80,Transfer,Current,2024-07-18 13:56:08,Pocket Withdrawal,150.0,156.83
81,Transfer,Current,2024-07-18 17:02:51,Pocket Withdrawal,140.0,296.83
82,Card Payment,Current,2024-07-18 17:03:02,Flanco,-139.73,157.1
83,Card Payment,Current,2024-07-18 14:00:47,Sp Ovf,-147.0,10.1
84,Transfer,Current,2024-07-22 10:09:03,Pocket Withdrawal,10.0,20.1
85,Transfer,Current,2024-07-22 10:09:09,Pocket Withdrawal,150.0,170.1
86,Topup,Current,2024-07-22 10:12:11,Payment from MOLDOVAN MARIAELENA,250.0,420.1
87,Transfer,Current,2024-07-22 19:39:57,Revolut Bank UAB,-3.0,417.1
88,Card Payment,Current,2024-07-22 10:48:20,Dinu Auto Total,-400.0,17.1
89,Transfer,Current,2024-07-26 21:23:28,Pocket Withdrawal,100.0,117.1
90,Card Payment,Current,2024-07-26 21:23:49,Superbet,-112.25,4.85
91,Transfer,Current,2024-07-27 19:37:45,Pocket Withdrawal,50.0,54.85
92,Card Payment,Current,2024-07-27 23:08:20,Profi,-3.49,51.36
93,Card Payment,Current,2024-07-27 23:10:34,Metrorex,-3.0,48.36
94,Card Payment,Current,2024-07-30 17:41:21,MM Partners Pub,-45.0,3.36
95,Transfer,Current,2024-08-02 20:24:05,Revolut Bank UAB,14.0,17.36
96,Card Payment,Current,2024-08-03 21:17:44,MM Partners Pub,-13.5,3.86
97,Transfer,Current,2024-08-04 20:52:11,Revolut Bank UAB,5.0,8.86
98,Transfer,Current,2024-08-04 21:49:53,Revolut Bank UAB,6.0,14.86
99,Card Payment,Current,2024-08-04 21:52:30,Altfel,-14.0,0.86
100,Transfer,Current,2024-08-10 18:43:00,Revolut Bank UAB,26.0,26.86
101,Card Payment,Current,2024-08-14 14:47:04,Uber,-22.7,4.16
102,Card Payment,Current,2024-08-14 14:39:37,Imperiul Festinului,-4.0,0.16
103,Transfer,Current,2024-08-20 22:18:21,Revolut Bank UAB,110.0,110.16
104,Card Payment,Current,2024-08-20 22:20:22,CFR Călători,-103.5,6.66
105,Transfer,Current,2024-08-30 17:57:53,Revolut Bank UAB,27.24,33.9
106,Transfer,Current,2024-08-31 15:21:10,Revolut Bank UAB,-33.9,0.0
107,Transfer,Current,2024-09-03 14:43:56,Revolut Bank UAB,5.0,5.0
108,Transfer,Current,2024-09-03 14:48:42,Revolut Bank UAB,95.0,100.0
109,Transfer,Current,2024-09-03 16:49:25,Revolut Bank UAB,100.0,200.0
110,Transfer,Current,2024-09-03 16:51:46,To Bomboe Alexandru,-200.0,0.0
111,Transfer,Current,2024-09-07 15:34:35,Revolut Bank UAB,23.0,23.0
112,Transfer,Current,2024-09-07 15:34:40,Revolut Bank UAB,23.0,46.0
113,Transfer,Current,2024-09-07 21:02:40,Revolut Bank UAB,-20.0,26.0
114,Topup,Current,2024-09-07 21:03:24,Payment from VLAD COSTIN BOMBOE,10.0,36.0
115,Transfer,Current,2024-09-09 11:48:39,Revolut Bank UAB,7.8,43.8
116,Transfer,Current,2024-09-09 12:59:31,Revolut Bank UAB,7.0,50.8
117,Transfer,Current,2024-09-09 12:59:46,Revolut Bank UAB,7.0,57.8
118,Card Payment,Current,2024-09-08 02:35:23,Market Summer,-26.0,31.8
119,Transfer,Current,2024-09-09 21:59:56,Revolut Bank UAB,808.1,839.9
120,Transfer,Current,2024-09-09 22:00:50,To pocket RON iexamen from RON,-300.0,539.9
121,Transfer,Current,2024-09-10 10:22:50,Revolut Bank UAB,-22.0,517.9
122,Transfer,Current,2024-09-10 10:26:25,Revolut Bank UAB,22.0,539.9
123,Transfer,Current,2024-09-10 11:32:25,Revolut Bank UAB,-22.0,517.9
124,Transfer,Current,2024-09-10 11:49:56,Revolut Bank UAB,-12.0,505.9
125,Card Payment,Current,2024-09-10 18:48:04,Carrefour,-31.86,474.04
126,Card Payment,Current,2024-09-10 18:02:10,McDonald's,-37.0,437.04
127,Transfer,Current,2024-09-11 09:40:58,Revolut Bank UAB,-5.0,432.04
128,Card Payment,Current,2024-09-10 19:15:24,Uber,-17.52,414.52
129,Card Payment,Current,2024-09-11 13:34:25,Mega Image,-7.49,407.03
130,Card Payment,Current,2024-09-11 08:03:50,Mega Image,-29.19,377.84
131,Transfer,Current,2024-09-12 18:42:03,Revolut Bank UAB,-0.25,377.59
132,Topup,Current,2024-09-12 18:42:29,Apple Pay top-up by *1781,880.0,1257.59
133,Card Payment,Current,2024-09-12 12:31:23,Mega Image,-47.0,1210.59
134,Card Payment,Current,2024-09-12 11:32:38,Mega Image,-6.89,1203.7
135,Transfer,Current,2024-09-13 15:28:07,Revolut Bank UAB,-60.0,1143.7
136,Card Payment,Current,2024-09-13 14:08:40,Bolt,-5.94,1137.76
137,Card Payment,Current,2024-09-13 08:02:15,Mega Image,-7.28,1130.48
138,Card Payment,Current,2024-09-13 10:18:52,Mega Image,-6.49,1123.99
139,Card Payment,Current,2024-09-13 13:39:06,Mega Image,-21.77,1102.22
140,Card Payment,Current,2024-09-13 22:11:43,Mega Image,-7.98,1094.24
141,Card Payment,Current,2024-09-13 16:05:20,Mega Image,-7.38,1086.86
142,Card Payment,Current,2024-09-13 20:22:19,Integrate Lobby Sol Sr,-24.0,1062.86
143,Card Payment,Current,2024-09-13 10:21:52,Ali Com Orient,-22.0,1040.86
144,Card Payment,Current,2024-09-13 19:56:47,McDonald's,-21.0,1019.86
145,Card Payment,Current,2024-09-13 23:14:50,Uber,-10.1,1009.76
146,Card Payment,Current,2024-09-13 08:05:42,Multimat Mihalache,-14.0,995.76
147,Card Payment,Current,2024-09-14 13:53:03,Curcubeului Market,-22.0,973.76
148,Card Payment,Current,2024-09-14 13:43:50,eMAG,-69.99,903.77
149,Card Payment,Current,2024-09-15 19:27:02,Uber,-13.09,
150,Card Payment,Current,2024-09-15 09:09:57,Pizza Luca,-9.49,894.28
151,Card Payment,Current,2024-09-15 19:35:29,Uber,-17.85,876.43
152,Card Payment,Current,2024-09-15 19:21:15,OMV,-31.49,844.94
153,Card Payment,Current,2024-09-16 07:29:55,Mega Image,-3.39,841.55
154,Card Payment,Current,2024-09-16 10:09:33,Mega Image,-37.78,803.77
155,Card Payment,Current,2024-09-16 06:15:11,MOL,-22.0,781.77
156,Card Payment,Current,2024-09-16 19:31:05,eMAG,-84.45,697.32
157,Transfer,Current,2024-09-18 16:50:30,Revolut Bank UAB,100.0,797.32
158,Card Payment,Current,2024-09-17 18:07:59,Metrorex,-3.0,794.32
159,Card Payment,Current,2024-09-17 17:17:14,Il Maestro,-8.0,786.32
160,Card Payment,Current,2024-09-18 14:09:47,Prăvălia cu Licori,-20.0,766.32
161,Topup,Current,2024-09-19 14:37:17,Payment from TOADER LUCIAN MOLDOVAN,100.0,866.32
162,Card Payment,Current,2024-09-18 16:41:42,Dr.Max,-69.99,796.33
163,Card Payment,Current,2024-09-19 12:59:09,Mega Image,-5.29,791.04
164,Card Payment,Current,2024-09-19 12:55:02,Orient Shaorma,-25.0,766.04
165,Card Payment,Current,2024-09-20 07:58:43,Uber,-13.73,
166,Transfer,Current,2024-09-20 11:33:04,Revolut Bank UAB,-2.0,764.04
167,Topup,Current,2024-09-20 11:51:32,Apple Pay top-up by *1781,300.0,1064.04
168,Transfer,Current,2024-09-20 11:52:09,Revolut Bank UAB,-150.0,914.04
169,Transfer,Current,2024-09-20 19:54:11,Revolut Bank UAB,-10.0,904.04
170,Card Payment,Current,2024-09-20 11:36:38,Nova prompt,-5.0,899.04
171,Card Payment,Current,2024-09-21 13:49:25,MM Partners Pub,-3.2,895.84
172,Card Payment,Current,2024-09-21 17:46:25,eMAG,-688.0,207.84
173,Card Payment,Current,2024-09-21 20:03:28,Profi,-34.2,173.64
174,Card Payment,Current,2024-09-23 11:26:56,Mega Image,-3.99,169.65
175,Card Payment,Current,2024-09-23 08:39:22,Mega Image,-2.99,166.66
176,Card Payment,Current,2024-09-23 11:59:13,Mega Image,-7.0,159.66
177,Card Payment,Current,2024-09-24 10:30:23,Mega Image,-6.79,152.87
178,Card Payment,Current,2024-09-24 07:52:36,Cora,-4.0,148.87
179,Transfer,Current,2024-09-26 07:42:21,Pocket Withdrawal,12.0,160.87
180,Transfer,Current,2024-09-26 07:43:12,Revolut Bank UAB,-160.0,0.87
181,Transfer,Current,2024-09-27 20:10:25,Revolut Bank UAB,8.0,8.87
182,Card Payment,Current,2024-09-28 10:26:58,Metrorex,-3.0,5.87
183,Transfer,Current,2024-10-01 07:31:51,Revolut Bank UAB,22.0,27.87
184,Transfer,Current,2024-10-03 07:54:51,Revolut Bank UAB,16.0,43.87
185,Transfer,Current,2024-10-03 08:21:13,Revolut Bank UAB,22.0,65.87
186,Transfer,Current,2024-10-03 10:46:14,Pocket Withdrawal,288.0,353.87
187,Transfer,Current,2024-10-03 10:47:17,To Razvan Mihai Pica,-250.0,103.87
188,Topup,Current,2024-10-05 18:17:05,Apple Pay top-up by *1781,160.0,263.87
189,Transfer,Current,2024-10-05 18:18:24,Revolut Bank UAB,-160.0,103.87
190,Topup,Current,2024-10-06 10:10:20,Apple Pay top-up by *1781,160.0,263.87
191,Transfer,Current,2024-10-06 10:10:36,Revolut Bank UAB,-160.0,103.87
192,Card Payment,Current,2024-10-05 21:16:42,Altfel,-32.0,71.87
193,Card Payment,Current,2024-10-05 19:51:33,Chopstix,-23.99,47.88
194,Card Payment,Current,2024-10-06 16:44:09,Curcubeului Market,-22.0,25.88
195,Card Payment,Current,2024-10-07 12:30:21,Profi,-12.88,13.0
196,Transfer,Current,2024-10-10 08:05:58,Revolut Bank UAB,26.0,39.0
197,Transfer,Current,2024-10-10 12:21:00,Revolut Bank UAB,5.0,44.0
198,Transfer,Current,2024-10-10 12:25:12,Revolut Bank UAB,10.0,54.0
199,Card Payment,Current,2024-10-09 14:17:20,PENNY,-6.99,47.01
200,Topup,Current,2024-10-12 19:06:53,Apple Pay top-up by *1781,160.0,207.01
201,Transfer,Current,2024-10-12 19:07:59,Revolut Bank UAB,-160.0,47.01
202,Card Payment,Current,2024-10-13 09:18:09,Bolt,-11.9,35.11
203,Card Payment,Current,2024-10-13 08:53:13,Bolt,-12.4,22.71
204,Transfer,Current,2024-10-14 09:31:34,Revolut Bank UAB,8.0,30.71
205,Transfer,Current,2024-10-14 10:20:12,Revolut Bank UAB,-8.0,22.71
206,Transfer,Current,2024-10-14 10:28:04,Revolut Bank UAB,-11.0,11.71
207,Card Payment,Current,2024-10-13 09:45:02,Metrorex,-3.0,8.71
208,Card Payment,Current,2024-10-13 09:44:26,Metrorex,-3.0,5.71
209,Transfer,Current,2024-10-15 11:26:40,Revolut Bank UAB,22.0,27.71
210,Transfer,Current,2024-10-15 11:28:16,Revolut Bank UAB,4.0,31.71
211,Transfer,Current,2024-10-15 11:28:35,Revolut Bank UAB,4.0,35.71
212,Card Payment,Current,2024-10-14 07:47:54,Metrorex,-3.0,32.71
213,Transfer,Current,2024-10-15 22:00:02,Revolut Bank UAB,-20.74,11.97
214,Transfer,Current,2024-10-16 06:44:28,Revolut Bank UAB,20.74,32.71
215,Card Payment,Current,2024-10-15 11:31:33,Mega Image,-11.97,20.74
216,Transfer,Current,2024-10-16 07:57:46,Revolut Bank UAB,24.0,44.74
217,Transfer,Current,2024-10-16 12:12:33,Revolut Bank UAB,3.0,47.74
218,Card Payment,Current,2024-10-16 07:58:39,Mega Image,-44.0,3.74
219,Topup,Current,2024-10-19 19:31:19,Apple Pay top-up by *1781,160.0,163.74
220,Transfer,Current,2024-10-19 19:31:39,Revolut Bank UAB,-160.0,3.74
221,Card Payment,Current,2024-10-18 14:50:18,Metrorex,-3.0,0.74
222,Topup,Current,2024-10-22 11:35:23,Apple Pay top-up by *1781,60.0,60.74
223,Transfer,Current,2024-10-22 11:35:38,Revolut Bank UAB,-22.0,38.74
224,Transfer,Current,2024-10-23 08:17:27,Revolut Bank UAB,5.5,44.24
225,Transfer,Current,2024-10-23 08:17:42,Revolut Bank UAB,1.0,45.24
226,Card Payment,Current,2024-10-23 08:17:24,Mega Image,-11.18,34.06
227,Transfer,Current,2024-10-24 18:51:33,Revolut Bank UAB,100.0,134.06
228,Transfer,Current,2024-10-24 19:13:38,Revolut Bank UAB,150.0,284.06
229,Card Payment,Current,2024-10-24 19:24:24,Carrefour,-14.9,269.16
230,Card Payment,Current,2024-10-24 19:15:12,Sephora,-132.0,137.16
231,Transfer,Current,2024-10-25 08:21:06,Revolut Bank UAB,5.0,142.16
232,Card Payment,Current,2024-10-24 20:22:28,ParkLake Shopping Center,-4.0,138.16
233,Card Payment,Current,2024-10-25 10:31:41,Mega Image,-3.99,134.17
234,Card Payment,Current,2024-10-25 08:25:45,Mega Image,-7.18,126.99
235,Card Payment,Current,2024-10-24 19:30:47,Taco Bell,-20.5,106.49
236,Card Payment,Current,2024-10-26 17:27:29,MM Partners Pub,-4.0,102.49
237,Card Payment,Current,2024-10-26 03:00:41,Uber,-50.88,51.61
238,Transfer,Current,2024-10-27 14:54:11,Revolut Bank UAB,-18.0,33.61
239,Topup,Current,2024-10-27 15:06:06,Apple Pay top-up by *1781,160.0,193.61
240,Transfer,Current,2024-10-27 15:06:18,Revolut Bank UAB,-160.0,33.61
241,Card Payment,Current,2024-10-26 17:53:09,Profi,-8.89,24.72
242,Card Payment,Current,2024-10-27 18:59:08,McDonald's,-10.5,14.22
243,Card Payment,Current,2024-10-26 16:22:48,Amparcat.ro,-1.2,13.02
244,Card Payment,Current,2024-10-28 17:05:52,Mobilitate urbana,-1.0,12.02
245,Transfer,Current,2024-10-30 23:03:19,Revolut Bank UAB,10.0,22.02
246,Topup,Current,2024-11-03 18:51:45,Apple Pay top-up by *1781,160.0,182.02
247,Transfer,Current,2024-11-03 18:52:11,Revolut Bank UAB,-160.0,22.02
248,Transfer,Current,2024-11-04 11:59:25,Revolut Bank UAB,22.0,44.02
249,Transfer,Current,2024-11-06 09:33:42,Revolut Bank UAB,-22.0,22.02
250,Transfer,Current,2024-11-07 12:22:25,Revolut Bank UAB,1000.0,1022.02
251,Transfer,Current,2024-11-07 13:00:51,Revolut Bank UAB,-2.5,1019.52
252,Card Payment,Current,2024-11-07 13:24:15,Mega Image,-5.69,1013.83
253,Card Payment,Current,2024-11-07 13:22:18,Orient Shaorma,-29.0,984.83
254,Card Payment,Current,2024-11-08 14:32:53,Mega Image,-11.0,973.83
255,Card Payment,Current,2024-11-08 10:35:35,Mega Image,-8.99,964.84
256,Card Payment,Current,2024-11-08 20:58:55,Casa Natural Prod,-11.0,953.84
257,Card Payment,Current,2024-11-08 19:41:31,Casa Natural Prod,-14.0,939.84
258,Card Payment,Current,2024-11-09 13:53:30,Curcubeului Market,-22.0,917.84
259,Card Payment,Current,2024-11-09 18:28:49,Carrefour,-4.65,913.19
260,Topup,Current,2024-11-10 16:38:25,Apple Pay top-up by *1781,160.0,1073.19
261,Transfer,Current,2024-11-10 16:38:52,Revolut Bank UAB,-160.0,913.19
262,Card Payment,Current,2024-11-09 18:18:29,Zara,-280.4,632.79
263,Card Payment,Current,2024-11-10 15:18:12,Klarna,-30.0,602.79
264,Card Payment,Current,2024-11-13 11:41:42,Abonamente Săli,-219.0,
265,Card Payment,Current,2024-11-12 15:11:42,MOL,-22.0,580.79
266,Card Payment,Current,2024-11-12 17:47:38,PENNY,-9.87,570.92
267,Card Payment,Current,2024-11-13 18:11:09,Lidl,-1.99,568.93
268,Card Payment,Current,2024-11-14 13:19:39,Mega Image,-4.79,564.14
269,Card Payment,Current,2024-11-14 08:02:17,Ali Com Orient,-26.0,538.14
270,Transfer,Current,2024-11-15 10:31:24,Revolut Bank UAB,22.0,560.14
271,Topup,Current,2024-11-15 11:21:35,Apple Pay top-up by *1781,160.0,720.14
272,Transfer,Current,2024-11-15 11:21:54,Revolut Bank UAB,-160.0,560.14
273,Card Payment,Current,2024-11-15 10:33:05,Mega Image,-44.0,516.14
274,Card Payment,Current,2024-11-15 12:01:48,ParkLake Shopping Center,-35.0,481.14
275,Topup,Current,2024-11-17 20:28:44,Apple Pay top-up by *1781,160.0,641.14
276,Transfer,Current,2024-11-17 20:29:10,Revolut Bank UAB,-160.0,481.14
277,Card Payment,Current,2024-11-17 13:29:40,Spalatorie Auto Alexander,-6.66,474.48
278,Card Payment,Current,2024-11-16 23:42:47,Amparcat.ro,-6.0,468.48
279,Card Payment,Current,2024-11-15 07:30:03,Metrorex,-3.0,465.48
280,Card Payment,Current,2024-11-15 07:29:55,Metrorex,-3.0,462.48
281,Card Payment,Current,2024-11-19 14:18:11,Starbucks,-40.0,422.48
282,Card Payment,Current,2024-11-20 10:40:54,Froo,-4.99,417.49
283,Card Payment,Current,2024-11-19 07:04:24,Metrorex,-3.0,414.49
284,Card Payment,Current,2024-11-19 16:01:31,Metrorex,-3.0,411.49
285,Card Payment,Current,2024-11-20 07:39:46,Metrorex,-3.0,408.49
286,Card Payment,Current,2024-11-20 07:40:09,Metrorex,-3.0,405.49
287,Card Payment,Current,2024-11-21 08:30:20,Mega Image,-2.29,403.2
288,Card Payment,Current,2024-11-21 10:17:02,Mega Image,-2.49,400.71
289,Card Payment,Current,2024-11-22 10:37:56,Froo,-11.88,388.83
290,Card Payment,Current,2024-11-21 19:49:23,Metrorex,-3.0,385.83
291,Transfer,Current,2024-11-22 19:53:26,Revolut Bank UAB,20.0,405.83
292,Card Payment,Current,2024-11-22 23:57:08,Uber,-13.57,
293,Card Payment,Current,2024-11-22 12:50:56,Image Photo Production,-1.5,404.33
294,Card Payment,Current,2024-11-23 00:00:42,Bolt,-11.7,392.63
295,Topup,Current,2024-11-23 18:20:39,Apple Pay top-up by *1781,160.0,552.63
296,Transfer,Current,2024-11-23 18:20:58,Revolut Bank UAB,-160.0,392.63
297,Card Payment,Current,2024-11-23 12:03:34,Froo,-20.47,372.16
298,Card Payment,Current,2024-11-24 18:06:11,Kfc,-13.0,359.16
299,Card Payment,Current,2024-11-24 17:51:55,Kfc,-10.5,348.66
300,Card Payment,Current,2024-11-22 14:49:24,Metrorex,-3.0,345.66
301,Card Payment,Current,2024-11-22 20:10:39,Metrorex,-3.0,342.66
302,Card Payment,Current,2024-11-25 09:28:37,Mega Image,-7.48,335.18
303,Transfer,Current,2024-11-26 09:24:09,Revolut Bank UAB,-22.0,313.18
304,Card Payment,Current,2024-11-26 11:32:55,Mega Image,-3.99,309.19
305,Transfer,Current,2024-11-27 08:23:15,Revolut Bank UAB,22.0,331.19
306,Transfer,Current,2024-11-27 09:29:09,Revolut Bank UAB,-10.0,321.19
307,Card Payment,Current,2024-11-27 08:23:50,Froo,-21.99,299.2
308,Transfer,Current,2024-11-29 15:16:51,Revolut Bank UAB,400.0,699.2
309,Card Payment,Current,2024-11-29 18:18:40,PENNY,-31.22,667.98
310,Card Payment,Current,2024-11-29 16:10:14,Zara,-350.4,317.58
311,Card Payment,Current,2024-11-29 15:10:02,Inmedio,-8.0,309.58
312,Card Payment,Current,2024-11-29 16:33:47,Inmedio,-6.0,303.58
313,Topup,Current,2024-11-30 21:15:58,Apple Pay top-up by *1781,160.0,463.58
314,Transfer,Current,2024-11-30 21:16:15,Revolut Bank UAB,-160.0,303.58
315,Card Payment,Current,2024-11-30 14:01:26,MM Partners Pub,-3.0,300.58
316,Card Payment,Current,2024-12-02 11:33:19,Froo,-9.68,290.9
317,Card Payment,Current,2024-12-02 14:26:38,Bolt,-3.86,287.04
318,Card Payment,Current,2024-11-29 07:44:09,Metrorex,-3.0,284.04
319,Card Payment,Current,2024-12-02 08:12:21,Mega Image,-22.0,262.04
320,Card Payment,Current,2024-12-02 16:05:44,Stand Up BarberShop,-10.0,252.04
321,Transfer,Current,2024-12-03 11:33:13,Revolut Bank UAB,-4.0,248.04
322,Card Payment,Current,2024-12-02 16:57:33,Profi,-21.4,226.64
323,Card Payment,Current,2024-12-02 07:44:24,Metrorex,-3.0,223.64
324,Card Payment,Current,2024-12-03 12:36:18,Mega Image,-10.47,213.17
325,Transfer,Current,2024-12-04 10:23:35,Revolut Bank UAB,1.0,214.17
326,Transfer,Current,2024-12-04 10:31:12,Revolut Bank UAB,13.0,227.17
327,Card Payment,Current,2024-12-03 15:14:07,Sdc Biruintei C0,-29.5,197.67
328,Card Payment,Current,2024-12-05 13:00:27,Mega Image,-22.0,175.67
329,Transfer,Current,2024-12-06 20:30:02,Revolut Bank UAB,150.0,325.67
330,Transfer,Current,2024-12-07 18:38:05,To Razvan Mihai Pica,-150.0,175.67
331,Transfer,Current,2024-12-07 19:22:13,Revolut Bank UAB,-22.0,153.67
332,Transfer,Current,2024-12-07 20:06:18,To maia basalau,-40.0,113.67
333,Transfer,Current,2024-12-07 21:11:56,Revolut Bank UAB,-20.0,93.67
334,Card Payment,Current,2024-12-07 19:21:59,Mega Image,-7.09,86.58
335,Card Payment,Current,2024-12-08 00:04:13,Uber,-47.12,39.46
336,Topup,Current,2024-12-08 22:53:24,Apple Pay top-up by *1781,160.0,199.46
337,Transfer,Current,2024-12-08 22:54:05,Revolut Bank UAB,-160.0,39.46
338,Card Payment,Current,2024-12-07 18:27:18,Metrorex,-3.0,36.46
